Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
341;BANCO MASVENTAS S.A.;2026-06-08;PTMO LINEA GRAL RENOVACION CON/SIN GARANTE;PTMO RENOV.C/S GAR.;Pesos;5000000;10000;24;50000;12;79;35,00;Personas humanas Monotributistas;4,84;161,44;Fija;216,93;1140,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS SCORING CARTERA GENERAL;PRESTAMOS SCORING CARTERA;Pesos;5000000;10000;24;50000;12;79;35,00;Personas humanas en relación de dependencia;4,84;200,07;Fija;274,40;1266,00;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-06-08;PTMO LINEA GRAL RENOVACION CON/SIN GARANTE;PTMO RENOV.C/S GAR.;Pesos;5000000;10000;24;50000;0;79;35,00;Beneficiarios de cuentas de la seguridad social;4,84;161,44;Fija;216,93;1140,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS EMPLEADOS BMV;PTMO.EMP.BMV;Pesos;5000000;10000;12;50000;3;67;60,00;Personas humanas en relación de dependencia;4,84;138,28;Fija;183,76;1286,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS PAGO DIFERIDO;PTMOS PGO DIFERIDO;Pesos;5000000;10000;24;50000;0;79;35,00;Beneficiarios de cuentas de la seguridad social;4,84;200,07;Fija;274,40;3553,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS CONVENIO VALUARTE;PTMO.CONV.VALUARTE;Pesos;1800000;40000;24;10000;6;65;50,00;Beneficiarios de cuentas de la seguridad social;,00;390,99;Fija;568,97;1754,00;Provincia de Mendoza;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS PAGO DIFERIDO;PTMOS PGO DIFERIDO;Pesos;5000000;10000;24;50000;0;79;35,00;Beneficiarios de cuentas de la seguridad social;4,84;200,07;Fija;274,40;3553,00;Provincia de Salta;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS CONVENIO PROTECAP;PMOS.CONV.PROTECAP;Pesos;1000000;40000;24;10000;6;65;30,00;Personas humanas en relación de dependencia;,00;186,65;Fija;253,63;1223,00;Ciudad Autónoma de Buenos Aires;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS SCORING CUENTA SUELDO;PRESTAMOS SCORING CTA.SUE;Pesos;5000000;10000;24;50000;6;79;50,00;Personas humanas en relación de dependencia;4,84;173,78;Fija;234,82;1181,00;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS PAGO DIFERIDO;PTMOS PGO DIFERIDO;Pesos;5000000;10000;24;50000;12;79;30,00;Personas humanas Monotributistas;4,84;200,07;Fija;274,40;3553,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PTMO LINEA GRAL 1RA OPERACION CON/SIN GARANTE;PTMO 1RA OP.C/S GAR.;Pesos;5000000;10000;24;50000;0;79;35,00;Beneficiarios de cuentas de la seguridad social;4,84;200,07;Fija;274,40;1266,00;Provincia de Salta;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS SCORING CARTERA GENERAL;PRESTAMOS SCORING CARTERA;Pesos;5000000;10000;24;50000;12;79;30,00;Personas humanas Monotributistas;4,84;200,07;Fija;274,40;1266,00;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMO AMPROMM;PTMO. AMPROMM;Pesos;850000;150000;18;10000;6;80;35,00;Beneficiarios de cuentas de la seguridad social;,00;86,59;Fija;111,85;983,00;Provincia de Buenos Aires;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS AMPROMM - DECRETO 1412;PRTMOS AMPROMM-DTO.1412;Pesos;850000;150000;12;10000;6;80;35,00;Beneficiarios de cuentas de la seguridad social;,00;6493,13;Fija;13476,52;5040,00;Provincia de Buenos Aires;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS PAGO DIFERIDO;PTMOS PGO DIFERIDO;Pesos;5000000;10000;24;50000;6;67;40,00;Clientes que acrediten sueldos en la entidad;4,84;173,78;Fija;234,82;3270,00;Provincia de Jujuy;
341;BANCO MASVENTAS S.A.;2026-06-08;PRESTAMOS CONVENIO VGA;PTMOS CONVENIO VGA;Pesos;1800000;40000;12;10000;6;65;30,00;Personas humanas en relación de dependencia;,00;6493,13;Fija;13476,52;5040,00;Provincia de Buenos Aires;
384;UALA BANK S.A.U.;2026-08-14;PRESTAMOS CLIENTES UALA BANK;PRESTAMOS;Pesos;14000000;5000;24;10000;6;75;47,00;Todos los beneficiarios;4,00;307,35;Fija;436,38;173145,00;Todo el territorio nacional;EL CARGO MAXIMO POR CANCELACION ANTICIPADA CORRESPONDE AL 4 POR CIENTO MAS IVA
386;NUEVO BANCO DE ENTRE RÍOS S.A.;2026-08-11;PRESTAMOS PARA EMPLEADOS PUBLICOS PROVINCIALES;CONVENIOS BANCARIZADOS;Pesos;50000000;1000;72;1000;0;74;40,00;Empleados públicos;3,63;129,16;Fija;129,16;699,00;Provincia de Entre Ríos;COMISION CANCELACION ANTICIPADA PARA PRESTAMOS: CUANDO LA PRECANCELACION SEA TOTAL, NO SE APLICARA COMISION ALGUNA CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION, O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS EL MAYOR. CFT EXPRESADO EN TEA INCLUYE EL IVA Y EL IMPUESTO DE SELLOS DE LA PROVINCIA DE ENTRE RIOS. 129,16 POR CIENTO. TEA Y CFT (TEA) SIN IMPUESTO DE SELLOS DE LA PROVINCIA DE ENTRE RIOS: 124.23 POR CIENTO.
389;BANCO COLUMBIA S.A.;2026-08-24;PCD;PCD;Pesos;20000000;4000;36;380000;1;84;55,00;Beneficiarios de cuentas de la seguridad social;10,00;421,00;Fija;637,00;1795,00;Todo el territorio nacional;CORRESPONDERA APLICAR EL CARGO DE CANCELACION ANTICIPADA SOBRE EL SALDO DE DEUDA, EXCEPTO SI HUBIERE  TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DEL PRESTAMO, O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS, EL MAYOR.
389;BANCO COLUMBIA S.A.;2026-08-24;PVOL;PVOL;Pesos;20000000;5000;30;380000;12;84;45,00;Personas humanas en relación de dependencia;10,00;244,00;Fija;348,00;1363,00;Todo el territorio nacional;CORRESPONDERA APLICAR EL CARGO DE CANCELACION ANTICIPADA SOBRE EL SALDO DE DEUDA, EXCEPTO SI HUBIERE  TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DEL PRESTAMO, O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS, EL MAYOR.
389;BANCO COLUMBIA S.A.;2026-08-24;PCD;PCD;Pesos;20000000;4000;36;380000;1;84;55,00;Beneficiarios de cuentas de la seguridad social;10,00;286,00;Fija;415,00;1463,00;Todo el territorio nacional;CORRESPONDERA APLICAR EL CARGO DE CANCELACION ANTICIPADA SOBRE EL SALDO DE DEUDA, EXCEPTO SI HUBIERE  TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DEL PRESTAMO, O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS, EL MAYOR.
426;BANCO BICA S.A.;2026-01-28;7428- ACTIVOS- MUTUAL AMCL 2 DIFERIDO;7428;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;144,18;Fija;155,85;9595,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7080- ACTIVOS UPCN 1;7080;Pesos;8000000;50000;24;300000;12;64;30,00;Empleados públicos;,00;261,95;Fija;284,69;14173,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7408 SEGURIDAD - SITUACION 1;7408;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;188,26;Fija;223,32;11672,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Beneficiarios de cuentas de la seguridad social;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Clientes que acrediten sueldos en la entidad;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Beneficiarios de cuentas de la seguridad social;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7407 PASIVOS - SITUACION 3 4 Y 5;7407;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;146,18;Fija;177,84;10151,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7422 PASIVOS - SITUACION 1 Y 2 DIFERIDO -;7422;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;152,78;Fija;163,36;10421,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Empleados públicos;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7352- AMCL - MINISTERIO DE EDUCACION;7352;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;131,46;Fija;158,96;9017,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7317-CLIENTES SELECCIONADOS DE IAPSER-IAPV-SA SS FUNEBRES;7317;Pesos;8000000;50000;60;300000;12;79;30,00;Clientes que acrediten sueldos en la entidad;,00;113,03;Fija;139,54;7849,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Clientes que acrediten sueldos en la entidad;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7339- AMCL - MINISTERIO DE SALUD;7339;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;151,78;Fija;182,83;9929,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7421 ACTIVOS - ACTIVOS - SITUACION 3  4 Y 5 DIFERIDO-;7421;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;165,50;Fija;172,72;10815,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7323- AMCL - MINISTERIO DE SEGURIDAD;7323;Pesos;4000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;177,76;Fija;212,99;11009,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Personas humanas Monotributistas;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Clientes con cuenta en la entidad;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas Monotributistas;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7420 ACTIVOS -  SITUACION 1 Y 2 DIFERIDO-;7420;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;161,06;Fija;168,61;10642,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Empleados públicos;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7387- PODER JUDICIAL ACTIVOS;7387;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;139,31;Fija;168,36;9376,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas en relación de dependencia;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7391- PODER JUDICIAL AMCL;7391;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;131,46;Fija;159,12;9017,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7419 - SIDECREER;7419;Pesos;5000000;50000;48;500000;12;64;30,00;Empleados públicos;,00;216,92;Fija;234,75;12207,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7424 SEGURIDAD - SITUACION 1 DIFERIDO;7424;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;213,40;Fija;216,28;12561,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7309- EX CAMBATIENTES 2;7309;Pesos;8000000;50000;60;300000;12;82;30,00;Empleados públicos;,00;131,13;Fija;160,97;9096,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7423 PASIVOS - SITUACION 3 4 Y 5 DIFERIDO -;7423;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;162,51;Fija;172,67;10811,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Clientes con cuenta en la entidad;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Empleados públicos;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Personas humanas en relación de dependencia;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Empleados públicos;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7066- ACTIVOS SITOS II;7066;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;141,42;Fija;160,79;9505,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Clientes con cuenta en la entidad;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7018-PLAN SUELDO;7018;Pesos;8000000;50000;60;300000;12;79;30,00;Clientes que acrediten sueldos en la entidad;,00;123,76;Fija;153,18;8351,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7308- ACTIVOS- MUTUAL ACML 2;7308;Pesos;8000000;50000;60;300000;12;82;30,00;Empleados públicos;,00;131,36;Fija;158,84;9012,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Beneficiarios de cuentas de la seguridad social;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Beneficiarios de cuentas de la seguridad social;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Personas humanas Responsables Inscriptos;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7431- AMCL - MINISTERIO DE EDUCACION DIFERIDO;7431;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;144,29;Fija;155,96;9600,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7342- ACTIVOS UPCN NUEVA;7342;Pesos;8000000;50000;18;300000;12;64;30,00;Empleados públicos;,00;84,42;Fija;126,70;1397,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Clientes que acrediten sueldos en la entidad;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7434-CTRO. EX COMB PASIVOS - SANCOR 2 - DIF 2;7434;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;132,75;Fija;162,93;9172,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7433-CUAD 7433 AMCL 2 - DIF - 2;7433;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;133,07;Fija;144,98;9091,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas Responsables Inscriptos;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7438- PODER JUDICIAL ACTIVOS III;7438;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;188,88;Fija;222,30;11328,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7395- PODER JUDICIAL ACTIVOS II;7395;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;161,02;Fija;193,73;10323,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7429- EX COMBATIENTES 2 DIFERIDO;7429;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;143,85;Fija;155,53;9580,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7042-LINEA SUELDOS CLIENTES SELECCIONADOS;7042;Pesos;8000000;50000;60;300000;12;79;30,00;Clientes que acrediten sueldos en la entidad;,00;123,76;Fija;153,18;8351,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7405 ACTIVOS - SITUACION 3  4 Y 5;7405;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;148,64;Fija;177,70;10146,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Clientes con cuenta en la entidad;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Personas humanas Responsables Inscriptos;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7430- AMCL - MINISTERIO DE SALUD DIFERIDO;7430;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;168,44;Fija;179,07;10632,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7427- AMCL - MINISTERIO DE SEGURIDAD DIFERIDO;7427;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;200,00;Fija;208,00;11867,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7043-CLIENTES SELECCIONADOS VOLUNTARIOS;7043;Pesos;5000000;50000;60;500000;12;64;30,00;Personas humanas Monotributistas;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas Monotributistas;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas Responsables Inscriptos;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7056- ACTIVOS-SITOS 1;7056;Pesos;8000000;50000;18;300000;12;64;30,00;Empleados públicos;,00;152,65;Fija;164,05;11865,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7019-MERCADO VOLUNTARIOS;7019;Pesos;5000000;50000;60;500000;12;79;30,00;Clientes que acrediten sueldos en la entidad;,00;137,31;Fija;170,46;8961,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7388- PODER JUDICIAL PASIVOS;7388;Pesos;8000000;50000;60;300000;12;64;30,00;Empleados públicos;,00;139,31;Fija;168,36;9376,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7404 ACTIVOS - SITUACION 1 Y 2;7404;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;144,90;Fija;173,35;9994,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7014-CLIENTES TARJETAS CREDITOS SELECCIONADOS;7414;Pesos;5000000;50000;60;500000;12;79;30,00;Personas humanas en relación de dependencia;,00;127,74;Fija;152,31;8534,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7415 - MICROCREDITOS;7415;Pesos;5000000;50000;3;500000;12;64;30,00;Personas humanas en relación de dependencia;,00;138,38;Fija;146,91;13407,00;Todo el territorio nacional;
426;BANCO BICA S.A.;2026-01-28;7406 PASIVOS - SITUACION 1 Y 2;7406;Pesos;8000000;50000;36;300000;12;64;30,00;Empleados públicos;,00;137,95;Fija;168,10;9807,00;Todo el territorio nacional;
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES SOSTENIBLES;PERSONALES SOSTENIBLES;Pesos;2500000;8000;48;8000;12;74;30,00;Personas humanas Monotributistas;3,00;45,38;Fija;57,65;668,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES;PERSONALES;Pesos;2500000;8000;36;8000;12;74;30,00;Personas humanas Responsables Inscriptos;3,00;63,23;Fija;81,75;1163,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES SOSTENIBLES;PERSONALES SOSTENIBLES;Pesos;2500000;8000;48;8000;12;74;30,00;Personas humanas Responsables Inscriptos;3,00;45,38;Fija;57,65;668,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES SOSTENIBLES;PERSONALES SOSTENIBLES;Pesos;2500000;8000;48;8000;12;74;30,00;Personas humanas en relación de dependencia;3,00;45,38;Fija;57,65;668,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES;PERSONALES;Pesos;2500000;8000;36;8000;12;74;30,00;Personas humanas Monotributistas;3,00;63,23;Fija;81,75;1163,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES ESMERALDA;PERSONALES ESMERALDA;Pesos;2500000;8000;48;8000;12;74;30,00;Clientes con cuenta en la entidad;3,00;55,56;Fija;71,54;1129,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES DIAMANTE;PERSONALES DIAMANTE;Pesos;2500000;8000;48;8000;12;74;30,00;Clientes con cuenta en la entidad;3,00;48,23;Fija;61,86;1095,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES SOSTENIBLES;PERSONALES SOSTENIBLES;Pesos;2500000;8000;48;8000;12;74;30,00;Clientes con cuenta en la entidad;3,00;45,38;Fija;57,65;668,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES CLIENTES PREMIUM;PRESTAMOS PREMIUM;Pesos;2500000;8000;48;8000;12;74;30,00;Clientes con cuenta en la entidad;3,00;28,08;Fija;35,74;994,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES PLAN SUELDO;PERSONALES PLAN SUELDO;Pesos;2500000;8000;48;8000;12;74;30,00;Clientes que acrediten sueldos en la entidad;3,00;48,23;Fija;61,86;1095,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
431;BANCO COINAG S.A.;2026-07-31;PRESTAMOS PERSONALES;PERSONALES;Pesos;2500000;8000;36;8000;12;74;30,00;Clientes con cuenta en la entidad;3,00;63,23;Fija;81,75;1163,00;Todo el territorio nacional;CANCELACION ANTICIPADA CUANDO SE REALICE DENTRO DE 180 DIAS CORRIDOS  DE SU OTORGAMIENTO O DENTRO DE LA PRIMER CUARTA PARTE DEL PLAZO
